code,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity
sz.000607,2019-10-31,2019-09-30,1.449771,1.239789,0.614063,0.450462,0.427372,1.746335
sz.000608,2019-10-30,2019-09-30,1.655032,0.619051,0.161207,-0.199616,0.396199,1.656176
sz.000609,2019-10-29,2019-09-30,2.639023,0.391244,0.174981,1.148826,0.613105,2.584682
sz.000610,2019-10-19,2019-09-30,1.981045,1.977121,1.197013,-0.385818,0.254209,1.340857
sz.000611,2019-10-30,2019-09-30,0.093964,0.092643,0.012069,-0.002538,0.636010,2.747331
sz.000612,2019-10-24,2019-09-30,0.557838,0.372035,0.304591,-0.113524,0.402038,1.672347
sz.000613,2019-10-19,2019-09-30,1.917411,1.899225,0.997924,-0.169783,0.098860,1.109705
sz.000615,2019-10-31,2019-09-30,1.241463,0.337147,0.139294,0.226353,0.783798,4.625299
sz.000616,2019-10-30,2019-09-30,7.042422,4.850706,4.580766,-0.510167,0.286574,1.401687
sz.000617,2019-10-25,2019-09-30,0.696927,0.696927,0.281851,-0.036386,0.828390,5.827163
sz.000619,2019-10-16,2019-09-30,1.996681,1.548947,0.237893,0.152600,0.324352,1.480061
sz.000620,2019-10-30,2019-09-30,1.211564,0.321264,0.186255,0.048251,0.838620,6.196558
sz.000622,2019-10-30,2019-09-30,4.511250,4.343609,0.966705,-0.485498,0.310405,1.450126
sz.000623,2019-10-31,2019-09-30,5.672199,5.140833,1.748515,-0.034103,0.131248,1.151076
sz.000625,2019-10-31,2019-09-30,1.077640,0.937239,0.254612,0.033294,0.532304,2.138140
sz.000626,2019-10-31,2019-09-30,1.728456,1.439058,0.727643,-0.088423,0.618458,2.620946
sz.000627,2019-10-31,2019-09-30,,,,0.188135,0.832370,5.965513
sz.000628,2019-10-29,2019-09-30,1.159842,0.897614,0.343673,0.683052,0.798438,4.961249
sz.000629,2019-10-25,2019-09-30,2.113153,1.854766,1.181165,-0.178538,0.272545,1.374656
sz.000630,2019-10-31,2019-09-30,1.019303,0.546758,0.226343,0.050690,0.591698,2.449168
sz.000631,2019-10-23,2019-09-30,4.519285,4.041145,4.000726,-0.724716,0.232786,1.303418
sz.000632,2019-10-31,2019-09-30,1.160609,0.643003,0.397601,-0.021626,0.797915,4.948403
sz.000633,2019-10-26,2019-09-30,0.917158,0.714273,0.276743,0.059088,0.837452,6.152011
sz.000635,2019-10-24,2019-09-30,3.195661,2.855344,0.410054,-0.438779,0.144871,1.169415
sz.000636,2019-10-29,2019-09-30,3.325892,2.830202,1.387743,-0.289879,0.161215,1.192200
