ts_code,symbol,name,area,industry,list_date,peTTM,pbMRQ,psTTM,pcfNcfTTM
002414.SZ,002414,高德红外,湖北,电器仪表,20100716,121.911902,9.281728,20.153360,-229.401075
002415.SZ,002415,海康威视,浙江,电器仪表,20100528,21.745677,6.666854,4.668305,85.033187
002416.SZ,002416,爱施德,深圳,电器连锁,20100528,22.104925,1.568300,0.137529,-3.012315
002417.SZ,002417,深南股份,江苏,软件服务,20100601,208.560621,8.156947,6.422700,2053.166804
002418.SZ,002418,康盛股份,浙江,机械基件,20100601,-5.728542,2.728249,1.339254,6.210396
002419.SZ,002419,天虹股份,深圳,百货,20100601,12.655251,1.564803,0.560768,26.811172
002420.SZ,002420,*ST毅昌,广东,塑料,20100601,9.918332,3.869328,0.411070,-80.056981
002421.SZ,002421,达实智能,深圳,软件服务,20100603,-22.137834,2.279584,3.427491,60.964914
002422.SZ,002422,科伦药业,四川,化学制药,20100603,32.771678,2.287678,1.737724,-55.714951
002423.SZ,002423,中粮资本,河南,多元金融,20100603,-127.640364,1.176418,9.455269,25.568693
002424.SZ,002424,贵州百灵,贵州,中成药,20100603,42.203387,3.059394,4.321783,-437.929713
002425.SZ,002425,凯撒文化,广东,互联网,20100608,20.128647,1.020659,5.186929,-175.614713
002426.SZ,002426,胜利精密,江苏,元器件,20100608,-2.430101,1.089929,0.628179,-163.215718
002427.SZ,002427,*ST尤夫,浙江,化纤,20100608,60.018902,4.538287,1.042029,-816.802500
002428.SZ,002428,云南锗业,云南,小金属,20100608,-109.066266,4.269750,15.076820,-3542.989705
002429.SZ,002429,兆驰股份,深圳,家用电器,20100610,18.063405,2.221489,1.510407,-35.847626
002430.SZ,002430,杭氧股份,浙江,化工机械,20100610,17.970693,2.006296,1.382136,29.641663
002431.SZ,002431,棕榈股份,广东,建筑工程,20100610,-27.405234,0.765873,1.124149,-11.963055
002432.SZ,002432,九安医疗,天津,医疗保健,20100610,57.750850,2.641090,5.597576,-23.846557
002433.SZ,002433,太安堂,广东,中成药,20100618,37.168030,0.685316,0.890363,-37.368280
002434.SZ,002434,万里扬,浙江,汽车配件,20100618,25.986095,1.833796,2.154628,-105.639754
002435.SZ,002435,长江健康,江苏,化学制药,20100618,17.043137,1.062398,1.136268,-23.858451
002436.SZ,002436,兴森科技,深圳,元器件,20100618,59.869736,6.738893,4.782531,-1210.062458
002437.SZ,002437,誉衡药业,黑龙江,化学制药,20100623,-2.332102,1.293962,1.183182,8.071328
002438.SZ,002438,江苏神通,江苏,机械基件,20100623,19.891363,1.863240,2.636493,-397.164207
002439.SZ,002439,启明星辰,北京,软件服务,20100623,48.815152,9.584934,11.057131,42.134455
002440.SZ,002440,闰土股份,浙江,染料涂料,20100706,8.670113,1.375350,1.786203,35.145175
